S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
55,Green Development Bank Ltd.,90,217.80,201.00,217.70,7006.00,1480876.50,198.00,19.70 
56,Green Ventures Limited,352,299.50,276.00,298.00,15762.00,4571965.00,276.00,22.00 
57,GreenLife Hydropower Limited,102,326.90,302.00,326.90,8787.00,2759882.00,305.00,21.90 
58,Guheshowori Merchant Bank & Finance Co. Ltd.,126,269.50,241.00,269.50,14128.00,3613986.90,245.00,24.50 
59,Gurans Laghubitta Bittiya Sanstha Limited,22,1079.00,1036.40,1074.00,508.00,538241.60,1045.00,29.00 
60,Gurkhas Finance Ltd.,322,416.00,385.00,415.90,45743.00,18353830.70,385.50,30.40 
S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
61,Himal Dolakha Hydropower Company Limited,451,195.90,180.00,195.90,76533.00,14613522.20,178.10,17.80 
62,Himalaya Urja Bikas Company Limited,85,222.30,203.10,222.30,9770.00,2099805.00,202.20,20.10 
63,Himalayan Bank Limited,98,308.50,300.00,308.50,9104.00,2787745.30,298.00,10.50 
64,Himalayan Distillery Limited,951,3187.80,2955.00,3187.80,27027.00,83792936.40,2898.00,289.80 
65,Himalayan Power Partner Ltd.,118,312.20,289.50,312.20,26652.00,8125137.20,283.90,28.30 
66,Hydorelectricity Investment and Development Company Ltd,1107,200.20,185.00,200.20,188008.00,36285566.10,182.00,18.20 
67,ICFC Finance Limited,292,415.10,391.00,413.00,36003.00,14670828.30,388.00,25.00 
68,IME General Insurance  Ltd. Promoter Share,1,296.00,296.00,296.00,1000.00,296000.00,296.00,0.00 
69,IME General Insurance Ltd.,245,384.00,347.00,375.00,38233.00,14091619.20,353.00,22.00 
70,Infinity Laghubitta Bittiya Sanstha Limited,81,970.00,939.00,970.00,5823.00,5573769.90,936.30,33.70 
71,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,156,2172.60,2062.00,2166.00,3268.00,6982284.00,2042.00,124.00 
72,Janaki Finance Company Limited,169,350.00,332.00,347.30,12685.00,4355431.60,326.00,21.30 
73,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,83,1787.50,1657.50,1787.00,2415.00,4249137.40,1625.00,162.00 
74,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,205,2821.90,2660.00,2821.00,3498.00,9788790.30,2660.00,161.00 
75,Joshi Hydropower Development Company Ltd,238,190.10,176.00,190.10,25115.00,4699585.00,172.90,17.20 
76,Jyoti Bikas Bank Limited,510,290.00,265.10,290.00,81251.00,22580774.90,265.00,25.00 
77,Jyoti Life Insurance Company Limited,272,365.00,340.00,359.00,18874.00,6651845.50,339.10,19.90 
78,Kalika Laghubitta Bittiya Sanstha Ltd,44,1086.30,1030.00,1060.00,1802.00,1900365.40,1018.90,41.10 
79,Kalika power Company Ltd,100,371.00,338.00,365.00,15010.00,5246130.00,343.00,22.00 
80,Kamana Sewa Bikas Bank Limited,343,341.00,318.00,339.50,33688.00,11142308.40,315.00,24.50 
S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
81,Karnali Development Bank Limited,209,228.40,209.00,227.80,36831.00,8045725.10,213.00,14.80 
82,Khanikhola Hydropower Co. Ltd.,149,203.00,188.70,201.70,13873.00,2741007.60,185.00,16.70 
83,Kisan Lagubitta Bittiya Sanstha Limited,13,837.90,782.00,818.30,406.00,326579.40,781.00,37.30 
84,Kumari Bank Limited,546,205.00,199.60,203.00,429501.00,86438953.20,198.00,5.00 
85,Kumari Equity Fund,16,8.60,8.00,8.60,8560.00,70663.60,8.10,0.50 
86,Laxmi Bank Limited,218,203.40,199.00,203.40,140326.00,28328882.90,200.00,3.40 
87,Laxmi Equity Fund,4,9.94,9.50,9.94,1700.00,16363.00,9.56,0.38 
88,Laxmi Laghubitta Bittiya Sanstha Ltd.,27,1182.00,1142.40,1177.00,1561.00,1816552.00,1120.00,57.00 
89,Laxmi Unnati Kosh,5,9.40,9.25,9.40,9160.00,86039.00,9.25,0.15 
90,Liberty Energy Company Limited,110,235.90,215.60,235.90,17405.00,3984939.40,214.50,21.40 
91,Life Insurance Corporation (Nepal) Limited,337,1322.00,1206.00,1300.00,34687.00,44593219.10,1229.90,70.10 
92,Lumbini Bikas Bank Ltd.,385,337.50,310.00,336.00,69038.00,22570821.70,307.00,29.00 
93,Lumbini General Insurance Co. Ltd.,168,425.00,395.00,423.00,17524.00,7251588.80,403.00,20.00 
94,Machhapuchhre Bank Limited,251,241.80,235.00,241.80,44034.00,10510868.10,235.00,6.80 
95,Madhya Bhotekoshi Jalavidyut Company Limited,317,219.00,207.00,217.00,14659.00,3145371.50,203.00,14.00 
96,Mahalaxmi Bikas Bank Ltd.,476,356.40,330.00,355.00,77256.00,26486808.50,324.00,31.00 
97,Mahila Lagubitta Bittiya Sanstha Limited ,63,3425.00,3278.10,3370.00,1085.00,3639106.90,3250.00,120.00 
98,Mahuli Laghubitta Bittiya Sanstha Limited,28,1056.00,979.20,1050.00,676.00,705119.00,960.00,90.00 
99,Mailung Khola Jal Vidhyut Company Limited,73,433.00,393.00,429.00,4023.00,1650276.70,400.00,29.00 
100,Manakamana Smart Laghubitta Bittiya Sanstha Limited,32,960.00,892.00,939.00,639.00,589232.30,875.00,64.00 
